"","V1","V2","V3","V4"
"1",-0.581587,1.13974694160885,-0.365128447698576,-0.40706793976921
"2",-0.581587,1.19999015552179,-0.395410902022969,-0.532566044646673
"3",-0.581587,1.18440993593674,-0.435956590652638,-0.461268628254951
"4",-0.581587,1.13726369727185,-0.299873001867053,-0.451048666868321
"5",-0.581587,1.24968066128069,-0.54062677289693,-0.51906112126222
"6",-0.581587,1.24953031438433,-0.524314710437393,-0.535182296964654
"7",-0.581587,1.13094102511218,-0.288703993581207,-0.442354616085395
"8",-0.581587,1.22033669466528,-0.496043858336779,-0.493114732038044
"9",-0.581587,1.17287751176633,-0.454133351323317,-0.411587848245087
"10",-0.581587,1.18179839223294,-0.387657628370146,-0.496355722290782
"11",-0.581587,1.18209715737579,-0.478277680027816,-0.410614357107911
"12",-0.581587,1.14701438557949,-0.343685275042834,-0.444434958621648
"13",-0.581587,1.20815488584151,-0.567899189645587,-0.370308977183365
"14",-0.581587,1.13916282030445,-0.384799702057569,-0.38680889397789
"15",-0.581587,1.1661338985812,-0.42966115006725,-0.418640138475854
"16",-0.581587,1.22432385961453,-0.536595811296621,-0.459384205780237
"17",-0.581587,1.2672207921693,-0.58827929122141,-0.509682265363663
"18",-0.581587,1.14533176271681,-0.376183460424709,-0.412638886668345
"19",-0.581587,1.17038965789114,-0.44476272902732,-0.414726495616956
"20",-0.581587,1.11973454539418,-0.387767976834778,-0.321623146384975
"21",-0.581587,1.19482102609512,-0.484257963174574,-0.439421789970661
"22",-0.581587,1.16420803731809,-0.516070230877012,-0.298415601064342
"23",-0.581587,1.22099774247101,-0.574213707151778,-0.401390216171625
"24",-0.581587,1.13454219064377,-0.401684965874268,-0.354732533807316
"25",-0.581587,1.1597817564291,-0.362060629124992,-0.462607634376461
"26",-0.581587,1.17512196316411,-0.407651419954682,-0.463391786849523
"27",-0.581587,1.13433649248293,-0.358311164257726,-0.397910024687435
"28",-0.581587,1.16086617180703,-0.387452947806331,-0.444399012242479
"29",-0.581587,1.25853086224458,-0.484767343715546,-0.590678045714474
"30",-0.581587,1.13150587316034,-0.36090834336148,-0.387363793724219
"31",-0.581587,1.09098319546882,-0.287284018890837,-0.328195407166643
"32",-0.581587,1.13674577303982,-0.356260987951199,-0.406532976507367
"33",-0.581587,1.21612454374806,-0.524572924657228,-0.451422366108483
"34",-0.581587,1.22758627982969,-0.577028886716228,-0.417139950521549
"35",-0.581587,1.1778944736306,-0.449798466223812,-0.430251938743131
"36",-0.581587,1.19062825656475,-0.414111873705368,-0.496091726787138
"37",-0.581587,1.22247406728606,-0.510588732350054,-0.483468707967841
"38",-0.581587,1.15264248913324,-0.363837996455798,-0.442952164562171
"39",-0.581587,1.1954825730569,-0.458892403621729,-0.467542879724442
"40",-0.581587,1.13453699296397,-0.408169785812366,-0.347234235572482
"41",-0.581587,1.27144613168049,-0.605471017993467,-0.499980111739698
"42",-0.581587,1.15406067706636,-0.435162015987735,-0.377478563884569
"43",-0.581587,1.12837695670117,-0.369355590550117,-0.36987971577741
"44",-0.581587,1.13652714461848,-0.462567257002094,-0.278792903790944
"45",-0.581587,1.24976422387111,-0.572049375391948,-0.484427628631824
"46",-0.581587,1.21353662425525,-0.491598020697343,-0.480627219844321
"47",-0.581587,1.26601583780039,-0.49444777592154,-0.598596273332588
"48",-0.581587,1.15998432435316,-0.402995666520841,-0.427969771725162
"49",-0.581587,1.17654965111264,-0.431784896577249,-0.44478183935615
"50",-0.581587,1.21616073600549,-0.548871895386029,-0.421647457310913
"51",-0.581587,1.04460265807219,-0.256601178912631,-0.159218554924175
"52",-0.581587,1.09454684219496,-0.280583536051645,-0.3454065272338
"53",-0.581587,1.19752548523901,-0.426868961932674,-0.501846766588622
"54",-0.581587,1.24430413800977,-0.58617838760606,-0.452424232078479
"55",-0.581587,1.15150814434071,-0.411100166567769,-0.396191443030933
"56",-0.581587,1.21641887259568,-0.521855707295034,-0.455347663187756
"57",-0.581587,1.21207346529474,-0.550813546003957,-0.407095225727532
"58",-0.581587,1.27827846198394,-0.529449362112767,-0.594709340207815
"59",-0.581587,1.18906184466197,-0.359498791063432,-0.533506035256266
"60",-0.581587,1.2010300954864,-0.516665904121247,-0.41896256847438
"61",-0.581587,1.20958693223604,-0.517034329554162,-0.442465872919782
"62",-0.581587,1.23186198602694,-0.607288744994093,-0.385596074697002
"63",-0.581587,1.19038254201889,-0.369623925258534,-0.529517469230087
"64",-0.581587,1.14968205231354,-0.370164947314657,-0.429821745833551
"65",-0.581587,1.22547601060581,-0.562954250489201,-0.429969725011497
"66",-0.581587,1.16960220286179,-0.43716268194902,-0.420545006450302
"67",-0.581587,1.16427290693745,-0.442799369132741,-0.399324580415764
"68",-0.581587,1.17217699155645,-0.477468694469673,-0.38212896427221
"69",-0.581587,1.14439607423444,-0.396330298238897,-0.390595275728029
"70",-0.581587,1.11736280190921,-0.321058461095726,-0.381341180112043
"71",-0.581587,1.15154421822295,-0.372511853545582,-0.432768997839193
"72",-0.581587,1.15561875590151,-0.438565782597841,-0.378305119349035
"73",-0.581587,1.10982584186008,-0.369836437361753,-0.308114278896639
"74",-0.581587,1.13971716406961,-0.395459370963643,-0.377580587414003
"75",-0.581587,1.13953180711975,-0.384852816568845,-0.387841525647568
"76",-0.581587,1.20740424847906,-0.466848569386452,-0.489772837657528
"77",-0.581587,1.15301672872862,-0.48233849638569,-0.31112240618837
"78",-0.581587,1.22736455956014,-0.544463828717762,-0.458238912885252
"79",-0.581587,1.1658493294862,-0.475831020196232,-0.364402935337285
"80",-0.581587,1.18433785903197,-0.433521252613112,-0.463374025889657
