"","V1","V2","V3","V4"
"1",-0.581587,1.09201883805875,-0.346199933867761,-0.269538027864593
"2",-0.581587,1.16754711030714,-0.550565430643256,-0.245038693612172
"3",-0.581587,1.33893171610673,-0.519182729200192,-0.723316966548383
"4",-0.581587,1.28951129318821,-0.487203748801035,-0.65228205740626
"5",-0.581587,1.21528118599925,-0.562832098793561,-0.400160454832024
"6",-0.581587,1.1837998071267,-0.414783263137682,-0.478891248587888
"7",-0.581587,1.13430521701928,-0.355446455848109,-0.400382495099599
"8",-0.581587,1.40947159601874,-0.762601376432981,-0.636434851847485
"9",-0.581587,1.41402723982175,-0.734292648886222,-0.678444795653683
"10",-0.581587,1.11550893908851,-0.456197941570579,-0.190377601868362
"11",-0.581587,1.06030278983938,-0.105175158723169,-0.336422639144185
"12",-0.581587,1.17126883352549,-0.229292246542423,-0.565062603667678
"13",-0.581587,1.25760026296049,-0.502638485007496,-0.573509350218174
"14",-0.581587,1.12420472276557,-0.387148568847535,-0.337568132867594
"15",-0.581587,1.32823121039491,-0.781284899662435,-0.392163299948628
"16",-0.581587,1.19440514435755,-0.348918761941986,-0.552140694418241
"17",-0.581587,1.14071888338132,-0.462147865371504,-0.296072493547235
"18",-0.581587,1.20431661354342,-0.488583508286069,-0.460070278422283
"19",-0.581587,1.26115965200331,-0.443736086553959,-0.627392981576046
"20",-0.581587,1.12304246185158,-0.254099447424756,-0.443461206804026
"21",-0.581587,1.32190940552004,-0.66730460608173,-0.54968085204457
"22",-0.581587,1.11975229547979,-0.334014884443893,-0.377199231444335
"23",-0.581587,1.17153603308069,-0.440949344784636,-0.421971980278832
"24",-0.581587,1.21719122092976,-0.527886277597515,-0.450433731233272
"25",-0.581587,1.21808061537568,-0.367997862768708,-0.590167737640466
"26",-0.581587,1.18992487004896,-0.502856163125297,-0.403803015798474
"27",-0.581587,1.10610579734526,-0.323112948106571,-0.345062396801899
"28",-0.581587,1.27469888552409,-0.535833832790272,-0.581153467161345
"29",-0.581587,1.19177798697799,-0.43096288143348,-0.48436119278061
