"samp.1","samp.2","samp.3","ph"
-0.298874705610737,0.951706412257152,-0.0702055212552034,-3.11769501379267
-0.27732138671656,0.956112286739596,-0.094562908241994,-3.11608205040049
-0.073241071122088,0.93068821170883,-0.358406470487223,-3.06021690971891
-0.212845784132566,0.936529926792664,-0.278582785539093,-3.0247991757121
0.0559614063927849,0.844672254846643,-0.532350545117434,-2.99565587280018
-0.170680515713792,0.907922305077522,-0.38281229016111,-2.97205897134403
-0.302065497838618,0.912356184837262,-0.276337885576161,-2.95916449768766
-0.264255730938595,0.907373436555538,-0.326867488899558,-2.9483864109653
-0.270380829730075,0.9069730562109,-0.322945943188539,-2.94685040527189
-0.0338924320573952,0.842232230643128,-0.538048485468676,-2.93063332448819
-0.232725131706527,0.886808071337187,-0.399262392022336,-2.91300677596241
-0.436188196188322,0.860647366227495,-0.262727936298471,-2.8583182288057
-0.0227389114758398,0.775126457377589,-0.631396798359132,-2.84368725567242
-0.317510851895504,0.855064080019009,-0.409941798295608,-2.83848478790844
-0.347728012571611,0.854625448456864,-0.385617131521542,-2.83449988977766
-0.026943870655434,0.769548510247372,-0.638019684813998,-2.83368680053028
-0.205965697822966,0.80354742830815,-0.558470824465931,-2.78982618899233
-0.386510779984158,0.827710892956286,-0.406821944636158,-2.78398215720699
0.1739442810459,0.605035664090699,-0.776965399660597,-2.77566040333508
-0.466650900415597,0.814731745577769,-0.34416437916948,-2.76508043709658
-0.483742593994667,0.809465774639917,-0.33280363946614,-2.75833580177213
-0.386880422666163,0.795979384213771,-0.465553819084665,-2.73192734100638
-0.172548469525229,0.728252823653565,-0.663230616380993,-2.7042138299024
-0.585141086215046,0.760654589044676,-0.281095189194604,-2.69677792909098
-0.0971968944170852,0.687412353728552,-0.719733992289545,-2.68997387966831
-0.263046566949936,0.74213940213051,-0.616470284296999,-2.68673946680812
-0.277122208645537,0.722210801587019,-0.633730888900371,-2.65666471764327
-0.367504937253527,0.727596291874089,-0.579261389310004,-2.63873611025476
-0.148665271391303,0.66469301159165,-0.732176097276723,-2.63736407574961
-0.53897567957431,0.680441118086996,-0.496492801200509,-2.55527048211199
-0.134598435309041,0.587586146501696,-0.797888326554315,-2.55349999537492
-0.418995284181197,0.660144290294206,-0.623419977082766,-2.54296379959716
-0.461453718303133,0.648158490518323,-0.605764836411972,-2.52082642684184
-0.462703549260721,0.642455221351189,-0.610865544993435,-2.5136818404746
-0.532765803150603,0.646767380304482,-0.545758696465178,-2.511041588804
-0.499955796384049,0.642808263079368,-0.580380684188298,-2.50902082375218
-0.241589850501485,0.552841104549903,-0.797496744353677,-2.47029455742409
-0.644218362455962,0.613298630688861,-0.456998349088623,-2.46861677686338
-0.582612375165254,0.610894099022697,-0.536070163396125,-2.46331839120584
-0.221193524839587,0.524807696030448,-0.821979505070687,-2.44639148339845
-0.409854482904597,0.56937988015992,-0.712619011051543,-2.43925523013582
-0.523248748255851,0.580380665632702,-0.623994415366377,-2.43131286410787
-0.279404387700414,0.513448116814967,-0.81135948843464,-2.41367059863234
-0.461605869940379,0.534964892358399,-0.707624607246352,-2.39000300131365
-0.492849144126367,0.539604469550229,-0.682588263578655,-2.38947044855004
-0.454412075411838,0.525276094285341,-0.719440539928245,-2.38075646844839
-0.222460365148794,0.462441488315224,-0.858288562094746,-2.37679250298787
-0.260407849776772,0.470084648213848,-0.843331592725128,-2.37229852236791
-0.719665061424739,0.516739866940101,-0.46374789409684,-2.3500818128763
-0.628849964941965,0.508415659963681,-0.588269698604461,-2.33874207666084
-0.511435714574788,0.491920529104994,-0.704590450476331,-2.33396296586065
-0.542631164134914,0.476748853169724,-0.69156485647475,-2.31269071404729
-0.71895956529927,0.471934822706639,-0.510269209909374,-2.29529470110494
-0.684531041327354,0.468535796079179,-0.558472435534412,-2.29108637994198
-0.42661908553889,0.435272456809023,-0.792801390133367,-2.28993152798418
-0.227274224525329,0.369163118682062,-0.901146502335411,-2.27275119224283
-0.662247189508133,0.450927994720379,-0.598408391958231,-2.27215266182851
-0.49675991920987,0.421400678880955,-0.758716712947114,-2.26134791799409
-0.353814876433402,0.374980806786643,-0.856857297194845,-2.2433983118468
-0.66055694251505,0.420436550186662,-0.622010958876376,-2.23888045085399
-0.590054653096391,0.413113413297115,-0.693666212319229,-2.23827493819027
-0.55931948297727,0.408918584390937,-0.721073718354616,-2.23806332395167
-0.767002323731863,0.41795757006179,-0.486845873986795,-2.23410587528797
-0.447912945539543,0.377323009851937,-0.810556191423127,-2.22470065952716
-0.733445123441074,0.401486165085601,-0.548513545999883,-2.21477149478567
-0.425526785985153,0.352960496682615,-0.833274169880903,-2.20399030464823
-0.753677864816343,0.391077460808097,-0.528231100687729,-2.20303368352581
-0.358859553665986,0.29822191115146,-0.884467926186032,-2.16144543123177
-0.816482512934525,0.329041684441085,-0.47443426939071,-2.1344158356137
-0.76203478788333,0.302483341218328,-0.572544155800236,-2.10655117139722
-0.739805999281548,0.300447130814204,-0.602012130286877,-2.10579571279447
-0.432084285643428,0.247901232127038,-0.867091776693739,-2.09426236296454
-0.831610760755016,0.292081116785001,-0.472347503236855,-2.09342280043017
-0.752092061155096,0.276616127399931,-0.598198169179533,-2.0800485324475
-0.350737551748868,0.213627614967299,-0.911781998021782,-2.07439607425619
