"samp.1","samp.2","samp.3","ph","true.1","true.2","true.3"
0.999899200791926,-0.00448108184415013,0.013472496471467,0.0141986549738289,1,0,0
0.999791081281504,-0.0124850611969774,0.0161838511136638,0.020441428198963,0.999986246440538,-2.7506929764465e-05,0.00524463279298751
0.999755186312896,0.00473088025188346,0.0216144907992007,0.0221279767133354,0.999944986140471,-0.00011002469253312,0.0104886885309915
0.999470813230576,-0.00107471753507324,0.032510590311953,0.0325340882496501,0.999876220234753,-0.000247544209064745,0.0157315902225205
0.999343234796734,-0.00921892735587557,0.035044406749259,0.0362446439063299,0.999779950614934,-0.000440050348400611,0.0209727610030602
0.999175167833196,-0.00854294930170324,0.0396988917066076,0.0406188523496692,0.999656179929115,-0.000687521929529302,0.0262116241985444
0.998903210046097,0.00497389092592583,0.0465578926569861,0.0468399509805409,0.99950491158187,-0.000989931723717215,0.0314476033888052
0.996314446223105,-0.0261739504771253,0.081685057162057,0.0858815450367855,0.999326149734157,-0.00134724645750447,0.0366801224709953
0.995650953188278,0.00678341571713584,0.0929148249015338,0.0932974044742405,0.999119899303199,-0.00175942681636594,0.0419086057229752
0.993772427907465,-0.0306738679253224,0.107123645183506,0.11166061637001,0.99888616596235,-0.00222642744903687,0.0471324778666584
0.993399454954394,-0.0469471322430657,0.10465892064447,0.11495928890439,0.998624956140941,-0.00274819697250288,0.0523511641313085
0.992269973184063,0.0101298775995315,0.123683814208321,0.124418698606773,0.998336277024103,-0.0033246779776534,0.0575640903167791
0.991964208264424,-0.0298481319231472,0.122947543867425,0.126858796955235,0.998020136552566,-0.00395580703559837,0.0627706828566926
0.991775439256688,-0.034354090085051,0.123293449062111,0.128342194424694,0.997676543422442,-0.00464151470464712,0.0679703688815477
0.991555800363723,-0.0124774943714176,0.129079072274582,0.130046995767942,0.997305507084991,-0.00538172553794887,0.0731625762817511
0.990843755219803,-0.00965245705364954,0.134668046747349,0.135427115460093,0.996907037746352,-0.00617635809179401,0.0783467337705659
0.989975542385832,-0.00151647544487851,0.141230753662592,0.141712743407442,0.996481146367268,-0.00702532493457515,0.0835222709469683
0.989958882580595,-0.0665772857991941,0.124695131482317,0.141830649484417,0.996027844662785,-0.00792853265640704,0.0886886183584079
0.988966400920313,-0.0646165792638409,0.133304746858325,0.14868724923789,0.995547145101926,-0.00888588187940419,0.0938452075634631
0.988490042151018,0.0230365460004537,0.149521751316147,0.151869060218803,0.995039060907352,-0.00989726726861527,0.0989914711943856
0.987839224328026,-0.0326806796704879,0.152005394822942,0.156112160480961,0.994503606054994,-0.0109625775436128,0.104126843019526
