"theta.1","theta.2","t","true.1","true.2"
-1.92983635500051,2.23663708327545,0.00197322387248278,-1.85784946862474,2.29081363982321
-1.96484726448206,2.1099954313684,0.00585979572497308,-1.86833892656661,2.26983472393947
-1.78642958710834,2.27744507062032,0.00767108146101236,-1.87882838450848,2.24885580805573
-1.88323197336127,2.33495750031452,0.00855872570537031,-1.88931784245035,2.22787689217199
-1.87252141879638,2.17579128696443,0.0121664053294808,-1.89980730039222,2.20689797628826
-1.94020765124037,2.10169126028845,0.0146139995194972,-1.91029675833409,2.18591906040452
-2.09259415666436,2.09839583900225,0.0146847956348211,-1.92078621627596,2.16494014452078
-2.01336999444734,2.08867390402624,0.0202430083882064,-1.93127567421783,2.14396122863704
-2.06878831966637,2.07248514181369,0.0210259519517422,-1.9417651321597,2.1229823127533
-1.88543866028745,2.10146111016349,0.0227457219734788,-1.95225459010157,2.10200339686956
-1.99683242673957,1.8480805493011,0.0242572275456041,-1.96274404804343,2.08102448098583
-1.90186763229277,1.93041375581687,0.0251575708389282,-1.9732335059853,2.06004556510209
-2.13390153191014,2.00592558032811,0.0291248576249927,-1.98372296392717,2.03906664921835
-1.979554833968,1.94355147949441,0.0294920760206878,-1.99421242186904,2.01808773333461
-2.04408229124986,1.90453621266937,0.0318986657075584,-2.00470187981091,1.99710881745087
-2.04358056029987,1.82418193976756,0.0334960953332484,-2.01519133775278,1.97612990156714
-2.0812934020768,1.92032084107091,0.0339058986864984,-2.02568079569465,1.9551509856834
-2.18663199773728,2.01476689906721,0.0342196810524911,-2.03617025363652,1.93417206979966
-2.01983420441027,1.9632551821315,0.0359165931586176,-2.04665971157839,1.91319315391592
-1.93503614946561,1.81284257919197,0.0372846685349941,-2.05714916952026,1.89221423803218
-2.03613942265289,1.65618268969287,0.0373408906161785,-2.06763862746213,1.87123532214845
-1.96297815587012,1.66486586388515,0.0377548940014094,-2.07812808540399,1.85025640626471
-2.19156053016343,1.9043148937126,0.0378763289190829,-2.08861754334586,1.82927749038097
-2.12461365505336,1.93662594260782,0.0389233459718525,-2.09910700128773,1.80829857449723
-2.20222785641811,1.74554530667933,0.04163050907664,-2.1095964592296,1.78731965861349
-2.0506957270814,1.70358722562821,0.0451443039346486,-2.12008591717147,1.76634074272975
-2.12410150832528,1.50102440166009,0.047335171373561,-2.13057537511334,1.74536182684602
-2.33123669974996,1.55702001895554,0.0492502970155329,-2.14106483305521,1.72438291096228
-2.4137863844946,1.67811940091346,0.0492881247773767,-2.15155429099708,1.70340399507854
-2.28023687585791,1.67710785926892,0.0500264866277575,-2.16204374893895,1.6824250791948
-2.11670172494149,1.63655175455732,0.0520920217968524,-2.17253320688082,1.66144616331106
-2.19385199390044,1.71511171286175,0.0524399548303336,-2.18302266482269,1.64046724742732
-2.2384350466577,1.54343252405419,0.0549657342489809,-2.19351212276455,1.61948833154359
-2.2183682741269,1.53299386476236,0.0552320722490549,-2.20400158070642,1.59850941565985
-2.18978888662168,1.52112231452676,0.0575132584199309,-2.21449103864829,1.57753049977611
-2.32923637264659,1.60830966658778,0.0582947537768632,-2.22498049659016,1.55655158389237
-2.24199890422508,1.65470552013239,0.0583933074958622,-2.23546995453203,1.53557266800863
-2.2163365137737,1.61037358692017,0.0589381833560765,-2.2459594124739,1.5145937521249
-2.32670370594451,1.50408405406185,0.0648085242137313,-2.25644887041577,1.49361483624116
-2.26682008932037,1.447411007466,0.0650362852029502,-2.26693832835764,1.47263592035742
-2.04530764307418,1.72586366699844,0.0652221655473113,-2.27742778629951,1.45165700447368
-2.32617586658208,1.54860876784908,0.0652889683842659,-2.28791724424138,1.43067808858994
-2.18146832462007,1.39696845289606,0.0672992744948715,-2.29840670218325,1.4096991727062
-2.36981533777297,1.48646805164009,0.0675883083604276,-2.30889616012511,1.38872025682247
-2.21963374553231,1.35125548512144,0.0705062195193022,-2.31938561806698,1.36774134093873
